Mes;Região;Empresa;Manifestacao;Item;Quantidade
12/2017;RMBS;EMTU;Informação;Passe Escolar;7
12/2017;RMS;EMTU;Informação;Passe Escolar;7
12/2017;RMC;EMTU;Informação;Passe Escolar;3
12/2017;RMSP;EMTU;Informação;Passe Idoso;5
12/2017;RMVPLN;EMTU;Informação;Passe Idoso;2
12/2017;RMC;EMTU;Informação;Passe Idoso;1
12/2017;RMBS;EMTU;Informação;Passe Idoso;1
12/2017;RMSP;EMTU;Informação;Serviços;184
12/2017;RMC;EMTU;Informação;Serviços;7
12/2017;RMS;EMTU;Informação;Serviços;7
12/2017;RMBS;EMTU;Informação;Serviços;5
12/2017;RMVPLN;EMTU;Informação;Serviços;2
12/2017;RMSP;EMTU;Informação;Tarifa;7
12/2017;RMC;EMTU;Informação;Tarifa;1
12/2017;RMBS;EMTU;Informação;Tarifa;1
12/2017;RMSP;EMTU;Informação;Vale-Transporte;22
12/2017;RMBS;EMTU;Informação;Vale-Transporte;1
12/2017;RMVPLN;EMTU;Informação;Vale-Transporte;1
12/2017;RMC;EMTU;Informação;Vale-Transporte;1
12/2017;RMSP;EMTU;Reclamação;Atendimento;12
12/2017;RMC;EMTU;Reclamação;Atendimento;1
12/2017;RMSP;EMTU;Reclamação;Direção Perigosa;13
12/2017;RMSP;EMTU;Reclamação;Horário;10
12/2017;RMC;EMTU;Reclamação;Horário;2
12/2017;RMVPLN;EMTU;Reclamação;Horário;1
12/2017;RMSP;EMTU;Reclamação;Inobservância de Ponto;5
12/2017;RMSP;EMTU;Reclamação;Itinerário;6
12/2017;RMS;EMTU;Reclamação;Itinerário;1
12/2017;RMC;EMTU;Reclamação;Itinerário;1
12/2017;RMBS;EMTU;Reclamação;Itinerário;1
12/2017;RMSP;EMTU;Reclamação;Mau Atendimento ao Idoso;3
12/2017;RMSP;EMTU;Reclamação;Passageiro Especial;3
12/2017;RMSP;EMTU;Reclamação;Passe Escolar;4
12/2017;RMVPLN;EMTU;Reclamação;Passe Escolar;2
12/2017;RMSP;EMTU;Reclamação;Serviços;6
12/2017;RMS;EMTU;Reclamação;Serviços;1
12/2017;RMSP;EMTU;Reclamação;Superlotação;6
12/2017;RMSP;EMTU;Reclamação;Tarifa;1
12/2017;RMSP;EMTU;Reclamação;Terminal;2
12/2017;RMC;EMTU;Reclamação;Terminal;1
12/2017;RMSP;EMTU;Reclamação;Transporte Irregular;2
12/2017;RMS;EMTU;Reclamação;Transporte Irregular;1
12/2017;RMSP;EMTU;Reclamação;Tripulação/Funcionário;53
12/2017;RMSP;EMTU;Reclamação;Veículo;2
12/2017;RMSP;EMTU;Sugestão;Horário;18
12/2017;RMC;EMTU;Sugestão;Horário;6
12/2017;RMS;EMTU;Sugestão;Horário;5
12/2017;RMVPLN;EMTU;Sugestão;Horário;5
12/2017;RMBS;EMTU;Sugestão;Horário;1
12/2017;RMSP;EMTU;Sugestão;Integração;2
12/2017;RMSP;EMTU;Sugestão;Itinerário;22
12/2017;RMC;EMTU;Sugestão;Itinerário;4
12/2017;RMBS;EMTU;Sugestão;Itinerário;3
12/2017;RMVPLN;EMTU;Sugestão;Itinerário;1
12/2017;RMS;EMTU;Sugestão;Itinerário;1
12/2017;RMSP;EMTU;Sugestão;Serviços;3
12/2017;RMS;EMTU;Sugestão;Serviços;1
12/2017;RMBS;EMTU;Sugestão;Serviços;1
12/2017;RMSP;EMTU;Sugestão;Tarifa;1
12/2017;RMSP;EMTU;Sugestão;Terminal;3
12/2017;RMSP;EUSA;Reclamação;Horário;12
12/2017;RMSP;EUSA;Reclamação;Inobservância de Ponto;2
12/2017;RMSP;EUSA;Reclamação;Passageiro Especial;2
12/2017;RMSP;EUSA;Reclamação;Tripulação/Funcionário;1
12/2017;RMSP;EUSA;Reclamação;Veículo;2
12/2017;RMSP;EUSA;Sugestão;Veículo;1
12/2017;RMVPLN;EXPRESSO REDENÇÃO;Informação;Serviços;1
12/2017;RMVPLN;EXPRESSO REDENÇÃO;Reclamação;Superlotação;1
12/2017;RMSP;EXPRESSO SBC;Reclamação;Horário;3
12/2017;RMSP;EXPRESSO SBC;Reclamação;Inobservância de Ponto;1
12/2017;RMC;FENIX;Reclamação;Passe Escolar;1
12/2017;RMSP;fretamento (todas);Reclamação;Direção Perigosa;3
12/2017;RMC;fretamento (todas);Reclamação;Direção Perigosa;1
12/2017;RMSP;fretamento (todas);Reclamação;Tripulação/Funcionário;2
12/2017;RMSP;fretamento (todas);Reclamação;Veículo;2
12/2017;RMSP;IMIGRANTES;Informação;Itinerário;1
12/2017;RMSP;IMIGRANTES;Informação;Serviços;1
12/2017;RMSP;IMIGRANTES;Reclamação;Atendimento;1
12/2017;RMSP;IMIGRANTES;Reclamação;Horário;17
12/2017;RMSP;IMIGRANTES;Reclamação;Inobservância de Ponto;2
12/2017;RMSP;IMIGRANTES;Reclamação;Itinerário;2
12/2017;RMSP;IMIGRANTES;Reclamação;Superlotação;4
12/2017;RMSP;IMIGRANTES;Reclamação;Tripulação/Funcionário;6
12/2017;RMSP;IMIGRANTES;Reclamação;Veículo;10
12/2017;RMSP;INTERNORTE;Elogio;Atendimento;3
12/2017;RMSP;INTERNORTE;Informação;Horário;1
12/2017;RMSP;INTERNORTE;Informação;Itinerário;7
12/2017;RMSP;INTERNORTE;Informação;Serviços;9
12/2017;RMSP;INTERNORTE;Reclamação;Atendimento;5
12/2017;RMSP;INTERNORTE;Reclamação;Direção Perigosa;10
12/2017;RMSP;INTERNORTE;Reclamação;Horário;74
12/2017;RMSP;INTERNORTE;Reclamação;Inobservância de Ponto;42
12/2017;RMSP;INTERNORTE;Reclamação;Itinerário;12
12/2017;RMSP;INTERNORTE;Reclamação;Mau Atendimento ao Idoso;1
12/2017;RMSP;INTERNORTE;Reclamação;Superlotação;20
12/2017;RMSP;INTERNORTE;Reclamação;Terminal;2
12/2017;RMSP;INTERNORTE;Reclamação;Transporte Irregular;1
12/2017;RMSP;INTERNORTE;Reclamação;Tripulação/Funcionário;56
12/2017;RMSP;INTERNORTE;Reclamação;Veículo;20
12/2017;RMSP;INTERNORTE;Sugestão;Horário;1
12/2017;RMSP;INTERVIAS;Elogio;Atendimento;1
12/2017;RMSP;INTERVIAS;Informação;Horário;2
12/2017;RMSP;INTERVIAS;Informação;Passe Idoso;1
12/2017;RMSP;INTERVIAS;Informação;Serviços;12
12/2017;RMSP;INTERVIAS;Reclamação;Atendimento;3
12/2017;RMSP;INTERVIAS;Reclamação;Direção Perigosa;8
12/2017;RMSP;INTERVIAS;Reclamação;Horário;81
12/2017;RMSP;INTERVIAS;Reclamação;Inobservância de Ponto;45
12/2017;RMSP;INTERVIAS;Reclamação;Itinerário;9
12/2017;RMSP;INTERVIAS;Reclamação;Mau Atendimento ao Idoso;1
12/2017;RMSP;INTERVIAS;Reclamação;Passageiro Especial;2
12/2017;RMSP;INTERVIAS;Reclamação;Superlotação;11
12/2017;RMSP;INTERVIAS;Reclamação;Tarifa;2
12/2017;RMSP;INTERVIAS;Reclamação;Terminal;2
12/2017;RMSP;INTERVIAS;Reclamação;Tripulação/Funcionário;52
12/2017;RMSP;INTERVIAS;Reclamação;Veículo;11
12/2017;RMSP;INTERVIAS;Sugestão;Horário;1
12/2017;RMVPLN;JACAREÍ;Reclamação;Tripulação/Funcionário;1
12/2017;RMVPLN;LITORANEA;Reclamação;Horário;2
12/2017;RMVPLN;LITORANEA;Reclamação;Serviços;2
12/2017;RMVPLN;LITORANEA;Reclamação;Tripulação/Funcionário;1
12/2017;RMC;METROPOLIS;Informação;Serviços;1
12/2017;RMC;METROPOLIS;Reclamação;Horário;4
12/2017;RMC;METROPOLIS;Reclamação;Inobservância de Ponto;1
12/2017;RMC;METROPOLIS;Reclamação;Itinerário;1
12/2017;RMC;METROPOLIS;Reclamação;Tripulação/Funcionário;1
12/2017;RMC;METROPOLIS;Reclamação;Veículo;3
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Elogio;Atendimento;3
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Informação;Horário;2
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Informação;Serviços;1
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Informação;Tarifa;1
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Atendimento;1
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Direção Perigosa;3
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Horário;19
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Inobservância de Ponto;4
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Superlotação;5
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Tarifa;1
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Terminal;1
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Tripulação/Funcionário;9
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Veículo;2
12/2017;RMSP;MOBIBRASIL TRANSPORTE;Sugestão;Itinerário;1
12/2017;RMC;OURO VERDE;Elogio;Atendimento;1
12/2017;RMC;OURO VERDE;Informação;Serviços;2
12/2017;RMC;OURO VERDE;Reclamação;Direção Perigosa;2
12/2017;RMC;OURO VERDE;Reclamação;Horário;9
12/2017;RMC;OURO VERDE;Reclamação;Inobservância de Ponto;6
12/2017;RMC;OURO VERDE;Reclamação;Itinerário;3
12/2017;RMC;OURO VERDE;Reclamação;Passe Escolar;1
12/2017;RMC;OURO VERDE;Reclamação;Superlotação;1
12/2017;RMC;OURO VERDE;Reclamação;Tripulação/Funcionário;9
12/2017;RMC;OURO VERDE;Reclamação;Veículo;1
12/2017;RMSP;PARQUE DAS NAÇÕES;Reclamação;Direção Perigosa;1
12/2017;RMSP;PARQUE DAS NAÇÕES;Reclamação;Horário;7
12/2017;RMSP;PARQUE DAS NAÇÕES;Reclamação;Tripulação/Funcionário;2
12/2017;RMVPLN;PASSARO MARRON;Informação;Itinerário;1
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Direção Perigosa;1
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Horário;2
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Inobservância de Ponto;1
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Passe Escolar;1
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Superlotação;1
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Tarifa;1
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Terminal;2
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Tripulação/Funcionário;1
12/2017;RMVPLN;PASSARO MARRON;Reclamação;Veículo;2
12/2017;RMVPLN;PASSARO MARRON;Sugestão;Horário;2
12/2017;RMVPLN;PASSARO MARRON;Sugestão;Serviços;1
12/2017;RMC;PRINCESA D OESTE;Reclamação;Horário;1
12/2017;RMSP;PUBLIX;Reclamação;Direção Perigosa;1
12/2017;RMSP;PUBLIX;Reclamação;Horário;3
12/2017;RMSP;PUBLIX;Reclamação;Inobservância de Ponto;1
12/2017;RMSP;PUBLIX;Reclamação;Tripulação/Funcionário;2
12/2017;RMSP;PUBLIX;Reclamação;Veículo;2
12/2017;RMS;RÁPIDO LUXO CAMPINAS;Informação;Horário;1
12/2017;RMC;RÁPIDO LUXO CAMPINAS;Informação;Horário;1
12/2017;RMS;RÁPIDO LUXO CAMPINAS;Reclamação;Horário;5
12/2017;RMC;RÁPIDO LUXO CAMPINAS;Reclamação;Horário;4
12/2017;RMS;RÁPIDO LUXO CAMPINAS;Reclamação;Inobservância de Ponto;1
12/2017;RMC;RÁPIDO LUXO CAMPINAS;Reclamação;Serviços;1
12/2017;RMS;RÁPIDO LUXO CAMPINAS;Reclamação;Superlotação;1
12/2017;RMS;RÁPIDO LUXO CAMPINAS;Reclamação;Tripulação/Funcionário;1
12/2017;RMC;RÁPIDO LUXO CAMPINAS;Reclamação;Tripulação/Funcionário;1
12/2017;RMSP;RIACHO GRANDE;Elogio;Atendimento;1
12/2017;RMSP;RIACHO GRANDE;Reclamação;Direção Perigosa;1
12/2017;RMSP;RIACHO GRANDE;Reclamação;Horário;11
12/2017;RMSP;RIACHO GRANDE;Reclamação;Inobservância de Ponto;2
12/2017;RMSP;RIACHO GRANDE;Reclamação;Itinerário;1
12/2017;RMSP;RIACHO GRANDE;Reclamação;Passageiro Especial;1
12/2017;RMSP;RIACHO GRANDE;Reclamação;Serviços;1
12/2017;RMSP;RIACHO GRANDE;Reclamação;Superlotação;1
12/2017;RMSP;RIACHO GRANDE;Reclamação;Tripulação/Funcionário;6
12/2017;RMSP;RIACHO GRANDE;Reclamação;Veículo;2
12/2017;RMSP;RIBEIRÃO PIRES;Elogio;Atendimento;1
12/2017;RMSP;RIBEIRÃO PIRES;Informação;Horário;1
12/2017;RMSP;RIBEIRÃO PIRES;Informação;Itinerário;1
12/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Direção Perigosa;1
12/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Horário;26
12/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Inobservância de Ponto;1
12/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Superlotação;1
12/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Tripulação/Funcionário;3
12/2017;RMSP;SÃO CAMILO;Reclamação;Direção Perigosa;4
12/2017;RMSP;SÃO CAMILO;Reclamação;Horário;6
12/2017;RMSP;SÃO CAMILO;Reclamação;Tripulação/Funcionário;3
12/2017;RMSP;SÃO CAMILO;Reclamação;Veículo;6
12/2017;RMSP;TRANS BUS;Reclamação;Horário;1
12/2017;RMSP;TRANS BUS;Reclamação;Inobservância de Ponto;5
12/2017;RMSP;TRANS BUS;Reclamação;Superlotação;1
12/2017;RMSP;TRANS BUS;Reclamação;Terminal;2
12/2017;RMSP;TRANS BUS;Reclamação;Tripulação/Funcionário;7
12/2017;RMSP;TRIÂNGULO;Reclamação;Direção Perigosa;2
12/2017;RMSP;TRIÂNGULO;Reclamação;Horário;5
12/2017;RMSP;TRIÂNGULO;Reclamação;Mau Atendimento ao Idoso;1
12/2017;RMSP;TRIÂNGULO;Reclamação;Superlotação;1
12/2017;RMSP;TRIÂNGULO;Reclamação;Tripulação/Funcionário;2
12/2017;RMSP;TRIÂNGULO;Reclamação;Veículo;1
12/2017;RMSP;TUCURUVI;Informação;Serviços;1
12/2017;RMSP;TUCURUVI;Reclamação;Tripulação/Funcionário;1
12/2017;RMSP;UNILESTE;Informação;Serviços;3
12/2017;RMSP;UNILESTE;Reclamação;Direção Perigosa;2
12/2017;RMSP;UNILESTE;Reclamação;Horário;23
12/2017;RMSP;UNILESTE;Reclamação;Inobservância de Ponto;4
12/2017;RMSP;UNILESTE;Reclamação;Itinerário;1
12/2017;RMSP;UNILESTE;Reclamação;Passe Escolar;1
12/2017;RMSP;UNILESTE;Reclamação;Serviços;1
12/2017;RMSP;UNILESTE;Reclamação;Superlotação;2
12/2017;RMSP;UNILESTE;Reclamação;Tarifa;2
12/2017;RMSP;UNILESTE;Reclamação;Terminal;1
12/2017;RMSP;UNILESTE;Reclamação;Tripulação/Funcionário;12
12/2017;RMSP;UNILESTE;Reclamação;Veículo;3
12/2017;RMC;VB TRANSPORTES;Informação;Horário;1
12/2017;RMC;VB TRANSPORTES;Informação;Serviços;1
12/2017;RMC;VB TRANSPORTES;Informação;Tarifa;1
12/2017;RMC;VB TRANSPORTES;Reclamação;Horário;5
12/2017;RMS;VB TRANSPORTES;Reclamação;Horário;2
12/2017;RMC;VB TRANSPORTES;Reclamação;Inobservância de Ponto;1
12/2017;RMC;VB TRANSPORTES;Reclamação;Itinerário;3
12/2017;RMC;VB TRANSPORTES;Reclamação;Serviços;1
12/2017;RMC;VB TRANSPORTES;Reclamação;Tarifa;1
12/2017;RMC;VB TRANSPORTES;Reclamação;Tripulação/Funcionário;4
12/2017;RMC;VB TRANSPORTES;Reclamação;Veículo;4
12/2017;RMS;VIACAO PIRACEMA DE TRANSP;Informação;Greve;4
12/2017;RMS;VIACAO PIRACEMA DE TRANSP;Reclamação;Direção Perigosa;1
12/2017;RMS;VIACAO PIRACEMA DE TRANSP;Reclamação;Serviços;2
12/2017;RMSP;VIPE;Reclamação;Tripulação/Funcionário;1
01/2018;RMSP;ABC;Reclamação;Horário;1
01/2018;RMSP;ABC;Reclamação;Inobservância de Ponto;1
01/2018;RMSP;ABC;Reclamação;Tripulação/Funcionário;3
01/2018;RMSP;ABC SISTEMA-Metra;Elogio;Atendimento;1
01/2018;RMSP;ABC SISTEMA-Metra;Informação;Horário;1
01/2018;RMSP;ABC SISTEMA-Metra;Informação;Passe Idoso;2
01/2018;RMSP;ABC SISTEMA-Metra;Informação;Serviços;5
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Atendimento;3
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Horário;15
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Inobservância de Ponto;2
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Itinerário;1
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Mau Atendimento ao Idoso;2
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Passageiro Especial;2
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Passe Escolar;1
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Serviços;2
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Superlotação;5
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Tarifa;2
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Terminal;49
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Tripulação/Funcionário;17
01/2018;RMSP;ABC SISTEMA-Metra;Reclamação;Veículo;8
01/2018;RMSP;ABC SISTEMA-Metra;Sugestão;Veículo;1
01/2018;RMSP;ANHANGUERA;Elogio;Atendimento;1
01/2018;RMSP;ANHANGUERA;Informação;Horário;1
01/2018;RMSP;ANHANGUERA;Informação;Passe Escolar;1
01/2018;RMSP;ANHANGUERA;Informação;Serviços;9
01/2018;RMSP;ANHANGUERA;Informação;Tarifa;1
01/2018;RMSP;ANHANGUERA;Reclamação;Atendimento;2
01/2018;RMSP;ANHANGUERA;Reclamação;Direção Perigosa;10
01/2018;RMSP;ANHANGUERA;Reclamação;Horário;47
01/2018;RMSP;ANHANGUERA;Reclamação;Inobservância de Ponto;23
01/2018;RMSP;ANHANGUERA;Reclamação;Itinerário;3
01/2018;RMSP;ANHANGUERA;Reclamação;Superlotação;5
01/2018;RMSP;ANHANGUERA;Reclamação;Terminal;1
01/2018;RMSP;ANHANGUERA;Reclamação;Tripulação/Funcionário;23
01/2018;RMSP;ANHANGUERA;Reclamação;Veículo;5
01/2018;RMS;AUTO ONIBUS SAO JOAO LTDA;Reclamação;Superlotação;1
01/2018;RMS;AUTO ONIBUS SAO JOAO LTDA;Sugestão;Horário;1
01/2018;RMC;BOA VISTA;Informação;Horário;2
01/2018;RMC;BOA VISTA;Reclamação;Atendimento;4
01/2018;RMC;BOA VISTA;Reclamação;Horário;33
01/2018;RMC;BOA VISTA;Reclamação;Inobservância de Ponto;2
01/2018;RMC;BOA VISTA;Reclamação;Itinerário;1
01/2018;RMC;BOA VISTA;Reclamação;Mau Atendimento ao Idoso;1
01/2018;RMC;BOA VISTA;Reclamação;Superlotação;2
01/2018;RMC;BOA VISTA;Reclamação;Terminal;2
01/2018;RMC;BOA VISTA;Reclamação;Tripulação/Funcionário;3
01/2018;RMC;BOA VISTA;Reclamação;Vale-Transporte;1
01/2018;RMC;BOA VISTA;Reclamação;Veículo;2
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Elogio;Atendimento;1
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Informação;Horário;1
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Informação;Integração;3
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Informação;Itinerário;2
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Informação;Passe Escolar;6
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Informação;Passe Idoso;1
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Informação;Serviços;12
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Informação;Tarifa;4
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Informação;Vale-Transporte;3
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Horário;11
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Inobservância de Ponto;7
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Integração;2
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Itinerário;6
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Mau Atendimento ao Idoso;1
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Superlotação;1
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Terminal;1
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Tripulação/Funcionário;18
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Veículo;1
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Sugestão;Itinerário;1
01/2018;RMBS;BR MOBILIDADE EMPRESAS;Sugestão;Veículo;1
01/2018;RMBS;BR MOBILIDADE VLT;Elogio;Atendimento;1
01/2018;RMBS;BR MOBILIDADE VLT;Informação;Serviços (VLT);3
01/2018;RMBS;BR MOBILIDADE VLT;Reclamação;Integração;1
01/2018;RMBS;BR MOBILIDADE VLT;Reclamação;Tarifa;1
01/2018;RMSP;CMT;Informação;Integração;2
01/2018;RMSP;CMT;Informação;Passe Escolar;9
01/2018;RMSP;CMT;Informação;Passe Idoso;4
01/2018;RMSP;CMT;Informação;Serviços;93
01/2018;RMSP;CMT;Informação;Tarifa;1
01/2018;RMSP;CMT;Informação;Vale-Transporte;23
01/2018;RMSP;CMT;Reclamação;Atendimento;1
01/2018;RMSP;CMT;Reclamação;Integração;3
01/2018;RMSP;CMT;Reclamação;Passe Escolar;2
01/2018;RMSP;CMT;Reclamação;Serviços;3
01/2018;RMSP;CMT;Reclamação;Terminal;1
01/2018;RMSP;CMT;Reclamação;Vale-Transporte;9
01/2018;RMSP;CMT;Sugestão;Serviços;1
01/2018;RMSP;EAOSA;Reclamação;Horário;1
01/2018;RMSP;EAOSA;Reclamação;Superlotação;1
01/2018;RMS;EMPRESA DE ONIBUS VILA EL;Sugestão;Terminal;1
01/2018;RMSP;EMTU;Elogio;Atendimento;2
01/2018;RMBS;EMTU;Elogio;Passe Escolar;1
01/2018;RMSP;EMTU;Informação;Carteira Passageiro Especial;54
01/2018;RMVPLN;EMTU;Informação;Carteira Passageiro Especial;8
01/2018;RMBS;EMTU;Informação;Carteira Passageiro Especial;4
01/2018;RMS;EMTU;Informação;Carteira Passageiro Especial;3
01/2018;RMSP;EMTU;Informação;Horário;15
01/2018;RMC;EMTU;Informação;Horário;3
01/2018;RMBS;EMTU;Informação;Horário;1
01/2018;RMSP;EMTU;Informação;Integração;37
01/2018;RMC;EMTU;Informação;Integração;1
01/2018;RMSP;EMTU;Informação;Isenção de Tarifa;1
01/2018;RMVPLN;EMTU;Informação;Isenção de Tarifa;1
01/2018;RMSP;EMTU;Informação;Itinerário;47
01/2018;RMC;EMTU;Informação;Itinerário;7
01/2018;RMVPLN;EMTU;Informação;Itinerário;1
01/2018;RMC;EMTU;Informação;Passe Desempregado;1
01/2018;RMSP;EMTU;Informação;Passe Desempregado;1
01/2018;RMSP;EMTU;Informação;Passe Escolar;1095
01/2018;RMBS;EMTU;Informação;Passe Escolar;84
01/2018;RMS;EMTU;Informação;Passe Escolar;61
01/2018;RMC;EMTU;Informação;Passe Escolar;30
01/2018;RMVPLN;EMTU;Informação;Passe Escolar;4
01/2018;RMSP;EMTU;Informação;Passe Idoso;2
01/2018;RMBS;EMTU;Informação;Passe Idoso;1
01/2018;RMSP;EMTU;Informação;Serviços;206
01/2018;RMC;EMTU;Informação;Serviços;5
01/2018;RMBS;EMTU;Informação;Serviços;5
01/2018;RMVPLN;EMTU;Informação;Serviços;4
01/2018;RMS;EMTU;Informação;Serviços;1
01/2018;RMBS;EMTU;Informação;Serviços (VLT);1
01/2018;RMSP;EMTU;Informação;Tarifa;65
01/2018;RMC;EMTU;Informação;Tarifa;5
01/2018;RMBS;EMTU;Informação;Tarifa;2
01/2018;RMS;EMTU;Informação;Tarifa;1
01/2018;RMSP;EMTU;Informação;Telefone;1
01/2018;RMSP;EMTU;Informação;Vale-Transporte;9
01/2018;RMC;EMTU;Informação;Vale-Transporte;1
01/2018;RMSP;EMTU;Reclamação;Atendimento;23
01/2018;RMC;EMTU;Reclamação;Atendimento;2
01/2018;RMVPLN;EMTU;Reclamação;Atendimento;1
01/2018;RMSP;EMTU;Reclamação;Direção Perigosa;1
01/2018;RMSP;EMTU;Reclamação;Horário;2
01/2018;RMC;EMTU;Reclamação;Horário;1
01/2018;RMSP;EMTU;Reclamação;Inobservância de Ponto;2
01/2018;RMSP;EMTU;Reclamação;Integração;2
01/2018;RMSP;EMTU;Reclamação;Itinerário;1
01/2018;RMSP;EMTU;Reclamação;Mau Atendimento ao Idoso;1
01/2018;RMSP;EMTU;Reclamação;Passageiro Especial;1
01/2018;RMSP;EMTU;Reclamação;Passe Escolar;13
01/2018;RMBS;EMTU;Reclamação;Passe Escolar;2
01/2018;RMS;EMTU;Reclamação;Passe Escolar;1
01/2018;RMSP;EMTU;Reclamação;Serviços;2
01/2018;RMSP;EMTU;Reclamação;Tarifa;5
01/2018;RMSP;EMTU;Reclamação;Terminal;2
01/2018;RMSP;EMTU;Reclamação;Transporte Irregular;1
01/2018;RMSP;EMTU;Reclamação;Tripulação/Funcionário;4
01/2018;RMSP;EMTU;Reclamação;Vale-Transporte;1
01/2018;RMSP;EMTU;Sugestão;Horário;14
01/2018;RMC;EMTU;Sugestão;Horário;6
01/2018;RMS;EMTU;Sugestão;Horário;2
01/2018;RMBS;EMTU;Sugestão;Horário;1
01/2018;RMSP;EMTU;Sugestão;Itinerário;12
01/2018;RMBS;EMTU;Sugestão;Itinerário;2
01/2018;RMC;EMTU;Sugestão;Itinerário;1
01/2018;RMVPLN;EMTU;Sugestão;Itinerário;1
01/2018;RMSP;EMTU;Sugestão;Passageiro Especial;1
01/2018;RMSP;EMTU;Sugestão;Passe Escolar;1
01/2018;RMSP;EMTU;Sugestão;Serviços;1
01/2018;RMSP;EMTU;Sugestão;Veículo;2
01/2018;RMSP;EUSA;Reclamação;Horário;2
01/2018;RMSP;EXPRESSO SBC;Reclamação;Horário;4
01/2018;RMSP;fretamento (todas);Informação;Passe Escolar;1
01/2018;RMSP;IMIGRANTES;Reclamação;Horário;7
01/2018;RMSP;IMIGRANTES;Reclamação;Tripulação/Funcionário;2
01/2018;RMSP;IMIGRANTES;Reclamação;Veículo;1
01/2018;RMSP;INTERNORTE;Elogio;Atendimento;1
01/2018;RMSP;INTERNORTE;Informação;Horário;3
01/2018;RMSP;INTERNORTE;Informação;Itinerário;3
01/2018;RMSP;INTERNORTE;Informação;Passe Escolar;1
01/2018;RMSP;INTERNORTE;Informação;Serviços;3
01/2018;RMSP;INTERNORTE;Reclamação;Atendimento;1
01/2018;RMSP;INTERNORTE;Reclamação;Direção Perigosa;4
01/2018;RMSP;INTERNORTE;Reclamação;Horário;51
01/2018;RMSP;INTERNORTE;Reclamação;Inobservância de Ponto;23
01/2018;RMSP;INTERNORTE;Reclamação;Itinerário;2
01/2018;RMSP;INTERNORTE;Reclamação;Mau Atendimento ao Idoso;1
01/2018;RMSP;INTERNORTE;Reclamação;Serviços;2
01/2018;RMSP;INTERNORTE;Reclamação;Superlotação;5
